name,total_sentiment_score,num_posts,average_sentiment_score,total_sentiment_score_ranking,num_posts_ranking,average_sentiment_score_ranking,espn_score,espn_score_ranking
Kevin Durant,1136.848851,12935,0.08788935839,6,7,13,38.1,32
Jayson Tatum,170.9567753,2014,0.08488419827,39,38,20,0,-1
Anthony Davis,794.4578499,11146,0.07127739547,10,8,38,40.3,23
Cade Cunningham,816.5476442,9055,0.09017643779,9,11,11,49.3,7
Shai Gilgeous-Alexander,1506.185582,15568,0.09674881691,4,4,9,53.9,4
Nikola Jokic,1386.252088,13050,0.1062262136,5,6,6,64.4,1
Victor Wembanyama,1527.021282,21564,0.07081345213,3,3,40,51.7,6
Luka Doncic,2678.484759,33198,0.08068211214,1,1,27,59.9,2
Tyrese Maxey,480.2948347,5512,0.0871362182,15,15,17,52.6,5
Rudy Gobert,107.5364131,1892,0.05683742765,47,39,49,27.9,96
Jamal Murray,307.9538398,4856,0.06341718283,22,16,47,40.2,24
Giannis Antetokounmpo,924.4692737,10581,0.08737069027,8,9,16,55.6,3
Ja Morant,576.6877235,7187,0.08024039565,13,13,28,29.5,81
Chet Holmgren,268.8507785,2385,0.1127256933,27,35,4,33.6,54
Scottie Barnes,192.3023475,1724,0.1115442851,33,42,5,40.2,24
Stephen Curry,1063.626217,13102,0.08118044705,7,5,26,41.2,19
Damian Lillard,155.2129102,1792,0.08661434721,42,40,19,0,-1
Anthony Edwards,531.0731863,6332,0.08387131811,14,14,23,44.1,13
Kawhi Leonard,266.1257452,4057,0.06559668357,28,25,43,41.8,18
James Harden,720.9292399,10159,0.07096458705,11,10,39,45.9,11
Jalen Williams,123.4003565,1338,0.09222747121,44,48,10,32.5,60
Tyrese Haliburton,108.5801658,1654,0.06564701679,46,43,42,0,-1
LeBron James,1901.629967,21653,0.08782293295,2,2,14,29,88
Evan Mobley,147.423594,1464,0.1006991762,43,46,8,36.3,38
Lauri Markkanen,89.79856882,1412,0.06359672012,48,47,46,41.2,19
LaMelo Ball,398.646433,4827,0.08258678952,18,17,24,36.2,40
Devin Booker,358.7863755,4244,0.08453967379,19,22,21,39.7,28
Paolo Banchero,333.4830867,2649,0.12589018,20,30,2,37.1,34
Zach LaVine,287.240449,3692,0.07780077166,25,26,32,29.6,80
Zion Williamson,166.6584357,2603,0.06402552275,41,32,45,34.7,47
Tyler Herro,120.3829775,1525,0.07893965739,45,45,29,39.9,26
Jaren Jackson Jr.,168.7117084,2189,0.07707250272,40,37,34,27.7,98
Karl-Anthony Towns,181.1776452,2771,0.06538348797,36,28,44,40.4,22
Jalen Brunson,401.552408,4774,0.08411236029,16,18,22,42,17
Darius Garland,72.88623237,936,0.07786990638,49,49,31,25.6,117
Donovan Mitchell,400.3180366,4605,0.08693116973,17,20,18,47.7,8
Alperen Sengun,290.3692808,4241,0.06846717302,24,23,41,44.5,12
Trae Young,307.1093896,2632,0.1166828988,23,31,3,29.5,81
Joel Embiid,254.6742064,4072,0.06254278152,29,24,48,31.4,66
Deâ€™Aaron Fox,235.4426286,4619,0.05097264097,30,19,50,39.9,26
Kyrie Irving,271.1235977,3052,0.08883473059,26,27,12,0,-1
Julius Randle,182.8170662,1764,0.1036377926,35,41,7,40.7,21
Cooper Flagg,631.5442282,7704,0.08197614593,12,12,25,30.3,71
Bam Adebayo,171.9109138,2192,0.07842651176,37,36,30,34.6,48
Amen Thompson,63.13511144,722,0.08744475269,50,50,15,32.7,59
Pascal Siakam,171.7439207,2392,0.07179929795,38,34,37,39,30
Jaylen Brown,330.8992224,4408,0.07506788168,21,21,35,44.1,13
Franz Wagner,210.3645369,1572,0.1338196799,31,44,1,37.1,34
Domantas Sabonis,185.8451236,2399,0.07746774638,34,33,33,35.9,41
Jimmy Butler,201.2717081,2719,0.07402416628,32,29,36,35.8,42